dessus;dessous
devant;derrière
sur;sous
dedans;dehors
beaucoup;peu
intérieur;extérieur
avec;sans
oui;non
prudemment;imprudemment
plus;moins
avant;après
rapidement;lentement
jamais;toujours
patiemment;impatiemment
tout;rien
addition;soustraction
multiplication;division
accord;désaccord
apparition;disparition
singulier;pluriel
avantage;désavantage
bruit;silence
vie;mort
équilibre;déséquilibre
chaleur;froid
attention;inattention
espoir;désespoir
début;fin
égalité;inégalité
infection;désinfection
double;moitié
patience;impatience
intérêt;désintérêt
droite;gauche
prudence;imprudence
obéissance;désobéissance
force;faiblesse
ordre;désordre
joie;tristesse
journée;nuit
bonheur;malheur
masculin;féminin
chance;malchance
matin;soir
absent;présent
mort;vivant
défini;indéfini
allumé;éteint
nouveau;ancien
direct;indirect
autorisé;interdit
ouvert;fermé
disponible;indisponible
bon;mauvais
plein;vide
efficace;inefficace
chaud;froid
premier;dernier
égal;inégal
content;triste
présent;absent
espéré;inespéré
court;long
proche;lointain
exact;inexact
cuit;cru
rapide;lent
habité;inhabité
domestique;sauvage
riche;pauvre
juste;injuste
dur;mou
sale;propre
occupé;inoccupé
endormi;éveillé
sec;mouillé
pair;impair
épais;fin
silencieux;bruyant
parfait;imparfait
facile;difficile
travailleur;paresseux
patient;impatient
foncé;clair
vrai;faux
poli;impoli
fort;faible
agréable;désagréable
possible;impossible
gentil;méchant
ordonné;désordonné
précis;imprécis
grand;petit
acceptable;inacceptable
pur;impur
gros;maigre
adapté;inadapté
stable;instable
haut;bas
animé;inanimé
utile;inutile
immense;minuscule
battable;imbattable
valide;invalide
inférieur;supérieur
calculable;incalculable
vertébré;invertébré
intelligent;bête
capable;incapable
visible;invisible
jeune;vieux
comparable;incomparable
adroit;maladroit
joli;moche
confortable;inconfortable
heureux;malheureux
joyeux;triste
connu;inconnu
honnête;malhonnête
large;étroit
conscient;inconscient
poli;malpoli
léger;lourd
correct;incorrect
lisible;illisible
accepter;refuser
agrafer;dégrafer
friser;défriser
acheter;vendre
attacher;détacher
gonfler;dégonfler
aimer;détester
barbouiller;débarbouiller
habiller;déshabiller
aller;venir
bloquer;débloquer
habituer;déshabituer
allumer;éteindre
boucher;déboucher
hydrater;déshydrater
apparaître;disparaître
boutonner;déboutonner
maquiller;démaquiller
atterrir;décoller
brancher;débrancher
monter;démonter
avancer;reculer
charger;décharger
obéir;désobéir
commencer;finir
chausser;déchausser
placer;déplacer
déballer;emballer
coder;décoder
plaire;déplaire
écrire;effacer
coiffer;décoiffer
plier;déplier
écrire;gommer
coincer;décoincer
ranger;déranger
endormir;réveiller
coller;décoller
régler;dérégler
entrer;sortir
colorer;décolorer
saler;dessaler
gagner;perdre
congeler;décongeler
tacher;détacher
interdire;autoriser
construire;détruire
visser;dévisser
monter;descendre
coudre;découdre
ouvrir;fermer
couvrir;découvrir
partir;arriver
embarquer;débarquer
pousser;tirer
emménager;déménager
prendre;laisser
enrouler;dérouler
remplir;vider
enterrer;déterrer
allonger;lever
faire;défaire
asseoir;lever
souvenir;oublier
taire;parler
